,1st_bond_start,1st_bond_end,looping_start,looping_end,cv2_start,cv2_end,2nd_bond_start,2nd_bond_end,reset_motion_start,reset_motion_end
1,,,0,,,,,,,118308
2,,,118309,,,,,,,119995
4,,,124707,,,,,,,126348
6,,,131129,,,,,,,132764
8,,,137795,,,,,,,140150
10,,,146186,,,,,,,147246
12,,,153989,,,,,,,155070
14,,,161860,,,,,,,162931
16,,,169784,,,,,,,170844
18,,,177586,,,,,,,178656
20,,,184763,,,,,,,186408
22,,,193677,,,,,,,196008
24,,,203542,,,,,,,205861
26,,,213587,,,,,,,215870
28,,,221332,,,,,,,223812
30,,,231561,,,,,,,233847
34,,,251759,,,,,,,254049
36,,,261971,,,,,,,264232
38,,,272165,,,,,,,274441
40,,,282456,,,,,,,284735
42,,,292749,,,,,,,295021
44,,,303084,,,,,,,305411
46,,,313560,,,,,,,315890
48,,,324199,,,,,,,326506
50,,,334656,,,,,,,336990
52,,,344540,,,,,,,346851
54,,,354490,,,,,,,356769
56,,,364462,,,,,,,366748
58,,,374476,,,,,,,376802
60,,,384645,,,,,,,386944
62,,,394920,,,,,,,397176
64,,,405243,,,,,,,407518
66,,,415132,,,,,,,417429
68,,,425062,,,,,,,427327
70,,,435034,,,,,,,437304
72,,,445028,,,,,,,447319
74,,,455077,,,,,,,457360
76,,,465179,,,,,,,467482
78,,,475360,,,,,,,477655
80,,,485654,,,,,,,487935
82,,,496071,,,,,,,498353
84,,,506592,,,,,,,508877
86,,,517056,,,,,,,519359
88,,,526908,,,,,,,529227
90,,,536892,,,,,,,539187
92,,,546839,,,,,,,549066
94,,,556784,,,,,,,559068
96,,,566770,,,,,,,569057
98,,,576794,,,,,,,579106
102,,,597137,,,,,,,599403
104,,,607487,,,,,,,609778
106,,,617318,,,,,,,619649
108,,,627251,,,,,,,629567
110,,,637285,,,,,,,639570
112,,,647323,,,,,,,649676
114,,,657557,,,,,,,659877
118,,,678471,,,,,,,680774
120,,,688890,,,,,,,691237
122,,,697667,,,,,,,699981
124,,,719234,,,,,,,721536
130,,,749154,,,,,,,751457
132,,,759168,,,,,,,761481
136,,,779381,,,,,,,781689
138,,,789653,,,,,,,791936
142,,,810364,,,,,,,812651
144,,,820269,,,,,,,822588
146,,,830254,,,,,,,832576
148,,,840363,,,,,,,842678
150,,,850607,,,,,,,852939
154,,,871882,,,,,,,874226
156,,,881871,,,,,,,884148
160,,,902047,,,,,,,904365
162,,,912354,,,,,,,914709
164,,,922795,,,,,,,925094
166,,,933259,,,,,,,935509
168,,,942479,,,,,,,944762
170,,,952856,,,,,,,955427
174,,,974487,,,,,,,976790
176,,,985401,,,,,,,987690
178,,,995594,,,,,,,997878
180,,,1005839,,,,,,,1008135
182,,,1016169,,,,,,,1018436
184,,,1026549,,,,,,,1028878
188,,,1047794,,,,,,,1050088
190,,,1058535,,,,,,,1060821
192,,,1069474,,,,,,,1071769
194,,,1079664,,,,,,,1081921
196,,,1089892,,,,,,,1092145
198,,,1100130,,,,,,,1102415
200,,,1110443,,,,,,,1112765
202,,,1120848,,,,,,,1123163
204,,,1131331,,,,,,,1133646
206,,,1141779,,,,,,,1144065
208,,,1152331,,,,,,,1154642
210,,,1162980,,,,,,,1165312
212,,,1173805,,,,,,,1176116
214,,,1184647,,,,,,,1186973
216,,,1194862,,,,,,,1197150
220,,,1214204,,,,,,,1216488
222,,,1224531,,,,,,,1226827
224,,,1234872,,,,,,,1237216
226,,,1245426,,,,,,,1247680
228,,,1256006,,,,,,,1258294
230,,,1266756,,,,,,,1269059
232,,,1277004,,,,,,,1279336
234,,,1287364,,,,,,,1289698
236,,,1297855,,,,,,,1300148
238,,,1308442,,,,,,,1310790
242,,,1330146,,,,,,,1332443
244,,,1340872,,,,,,,1343192
248,,,1362200,,,,,,,1364535
250,,,1372837,,,,,,,1375103
254,,,1393659,,,,,,,1395958
260,,,1424509,,,,,,,1426811
262,,,1434783,,,,,,,1437084
264,,,1445060,,,,,,,1447421
266,,,1455422,,,,,,,1457742
268,,,1465800,,,,,,,1468129
272,,,1486289,,,,,,,1488622
274,,,1496658,,,,,,,1498975
276,,,1507167,,,,,,,1509442
278,,,1517758,,,,,,,1520078
280,,,1528140,,,,,,,1530456
282,,,1538869,,,,,,,1541153
284,,,1549421,,,,,,,1551751
286,,,1559769,,,,,,,1562053
288,,,1570089,,,,,,,1572427
290,,,1580644,,,,,,,1582925
292,,,1591089,,,,,,,1593381
294,,,1601386,,,,,,,1603711
296,,,1612018,,,,,,,1614339
300,,,1633204,,,,,,,1635476
302,,,1644104,,,,,,,1646365
304,,,1655048,,,,,,,1657367
306,,,1666265,,,,,,,1668563
308,,,1675148,,,,,,,1677451
310,,,1685562,,,,,,,1687895
312,,,1695871,,,,,,,1698192
314,,,1704886,,,,,,,1707243
3,,,119996,121507.0,121507.0,121932.0,121932.0,122554.0,122554.0,124706
5,,,126349,127892.0,127892.0,128322.0,128322.0,128953.0,128953.0,131128
7,,,132765,134508.0,134508.0,134958.0,134958.0,135582.0,135582.0,137794
9,,,140151,142315.0,142315.0,142775.0,142775.0,143398.0,143398.0,146185
11,,,147247,149457.0,149457.0,150137.0,150137.0,151303.0,151303.0,153988
13,,,155071,157286.0,157286.0,157791.0,157791.0,159115.0,159115.0,161859
15,,,162932,165168.0,165168.0,165873.0,165873.0,166508.0,166508.0,169783
17,,,170845,173060.0,173060.0,173680.0,173680.0,174364.0,174364.0,177585
19,,,178657,180871.0,180871.0,181476.0,181476.0,182148.0,182148.0,184762
21,,,186409,190207.0,190207.0,190717.0,190717.0,191322.0,191322.0,193676
23,,,196009,200247.0,200247.0,200862.0,200862.0,201374.0,201374.0,203541
25,,,205862,210228.0,210228.0,210878.0,210878.0,211394.0,211394.0,213586
27,,,215871,218188.0,218188.0,218783.0,218783.0,219344.0,219344.0,221331
29,,,223813,228176.0,228176.0,228796.0,228796.0,229350.0,229350.0,231560
31,,,233848,238226.0,238226.0,238886.0,238886.0,239394.0,239394.0,241216
32,,,241217,243360.0,243360.0,243611.0,243611.0,243611.0,243611.0,243918
33,,,243919,248360.0,248360.0,248780.0,248780.0,249526.0,249526.0,251758
35,,,254050,258531.0,258531.0,259161.0,259161.0,259706.0,259706.0,261970
37,,,264233,268741.0,268741.0,269171.0,269171.0,269910.0,269910.0,272164
39,,,274442,279011.0,279011.0,279631.0,279631.0,280185.0,280185.0,282455
41,,,284736,289300.0,289300.0,289940.0,289940.0,290473.0,290473.0,292748
43,,,295022,299656.0,299656.0,300096.0,300096.0,300844.0,300844.0,303083
45,,,305412,310113.0,310113.0,310543.0,310543.0,311300.0,311300.0,313559
47,,,315891,320691.0,320691.0,321301.0,321301.0,321875.0,321875.0,324198
49,,,326507,331218.0,331218.0,331663.0,331663.0,332390.0,332390.0,334655
51,,,336991,341212.0,341212.0,341857.0,341857.0,342390.0,342390.0,344539
53,,,346852,351126.0,351126.0,351576.0,351576.0,352304.0,352304.0,354489
55,,,356770,361095.0,361095.0,361535.0,361535.0,362284.0,362284.0,364461
57,,,366749,371138.0,371138.0,371568.0,371568.0,372308.0,372308.0,374475
59,,,376803,381263.0,381263.0,381708.0,381708.0,382436.0,382436.0,384644
61,,,386945,391475.0,391475.0,391915.0,391915.0,392667.0,392667.0,394919
63,,,397177,401802.0,401802.0,402237.0,402237.0,402959.0,402959.0,405242
65,,,407519,411781.0,411781.0,412221.0,412221.0,412963.0,412963.0,415131
67,,,417430,421691.0,421691.0,422131.0,422131.0,422865.0,422865.0,425061
69,,,427328,431632.0,431632.0,432072.0,432072.0,432832.0,432832.0,435033
71,,,437305,441640.0,441640.0,442080.0,442080.0,442837.0,442837.0,445027
73,,,447320,451695.0,451695.0,452140.0,452140.0,452869.0,452869.0,455076
75,,,457361,461772.0,461772.0,462222.0,462222.0,462972.0,462972.0,465178
77,,,467483,471953.0,471953.0,472593.0,472593.0,473147.0,473147.0,475359
79,,,477656,482202.0,482202.0,482847.0,482847.0,483393.0,483393.0,485653
81,,,487936,492585.0,492585.0,493240.0,493240.0,493779.0,493779.0,496070
83,,,498354,503108.0,503108.0,503753.0,503753.0,504286.0,504286.0,506591
85,,,508878,513578.0,513578.0,514243.0,514243.0,514774.0,514774.0,517055
87,,,519360,523578.0,523578.0,524203.0,524203.0,524757.0,524757.0,526907
89,,,529228,533497.0,533497.0,534117.0,534117.0,534701.0,534701.0,536891
91,,,539188,543449.0,543449.0,544069.0,544069.0,544620.0,544620.0,546838
93,,,549067,553384.0,553384.0,554044.0,554044.0,554575.0,554575.0,556783
95,,,559069,563383.0,563383.0,564008.0,564008.0,564565.0,564565.0,566769
97,,,569058,573417.0,573417.0,574052.0,574052.0,574605.0,574605.0,576793
99,,,579107,583524.0,583524.0,584184.0,584184.0,584717.0,584717.0,586332
100,,,586333,588114.0,588114.0,588199.0,588199.0,588656.0,588656.0,589243
101,,,589244,593723.0,593723.0,594393.0,594393.0,594905.0,594905.0,597136
103,,,599404,604011.0,604011.0,604461.0,604461.0,605206.0,605206.0,607486
105,,,609779,613996.0,613996.0,614646.0,614646.0,615184.0,615184.0,617317
107,,,619650,623902.0,623902.0,624552.0,624552.0,625086.0,625086.0,627250
109,,,629568,633887.0,633887.0,634512.0,634512.0,635070.0,635070.0,637284
111,,,639571,643971.0,643971.0,644591.0,644591.0,645166.0,645166.0,647322
113,,,649677,654156.0,654156.0,654771.0,654771.0,655345.0,655345.0,657556
115,,,659878,664467.0,664467.0,665082.0,665082.0,665681.0,665681.0,667370
116,,,667371,669618.0,669618.0,669848.0,669848.0,670058.0,670058.0,670263
117,,,670264,674969.0,674969.0,675514.0,675514.0,676183.0,676183.0,678470
119,,,680775,685472.0,685472.0,685972.0,685972.0,686640.0,686640.0,688889
121,,,691238,694342.0,694342.0,694892.0,694892.0,695498.0,695498.0,697666
123,,,699982,706199.0,706199.0,706584.0,706584.0,717963.0,717963.0,719233
125,,,721537,725846.0,725846.0,726376.0,726376.0,727013.0,727013.0,728655
126,,,728656,729213.0,729213.0,729308.0,729308.0,731464.0,731464.0,731510
127,,,731511,735813.0,735813.0,736373.0,736373.0,736982.0,736982.0,738582
128,,,738583,740726.0,740726.0,740896.0,740896.0,741427.0,741427.0,741474
129,,,741475,745790.0,745790.0,746330.0,746330.0,746959.0,746959.0,749153
131,,,751458,755805.0,755805.0,756350.0,756350.0,756978.0,756978.0,759167
133,,,761482,765856.0,765856.0,766396.0,766396.0,767032.0,767032.0,768689
134,,,768690,770312.0,770312.0,770657.0,770657.0,771144.0,771144.0,771544
135,,,771545,775980.0,775980.0,776530.0,776530.0,777149.0,777149.0,779380
137,,,781690,786205.0,786205.0,786785.0,786785.0,787387.0,787387.0,789652
139,,,791937,796519.0,796519.0,797064.0,797064.0,797712.0,797712.0,799688
140,,,799689,800692.0,800692.0,801127.0,801127.0,801208.0,801208.0,802284
141,,,802285,806896.0,806896.0,807471.0,807471.0,808075.0,808075.0,810363
143,,,812652,816936.0,816936.0,817491.0,817491.0,818105.0,818105.0,820268
145,,,822589,826925.0,826925.0,827475.0,827475.0,828085.0,828085.0,830253
147,,,832577,836993.0,836993.0,837558.0,837558.0,838148.0,838148.0,840362
149,,,842679,847188.0,847188.0,847748.0,847748.0,848350.0,848350.0,850606
151,,,852940,857777.0,857777.0,858337.0,858337.0,858991.0,858991.0,860714
152,,,860715,862061.0,862061.0,862461.0,862461.0,862617.0,862617.0,863618
153,,,863619,868418.0,868418.0,868958.0,868958.0,869588.0,869588.0,871881
155,,,874227,878542.0,878542.0,879112.0,879112.0,879665.0,879665.0,881870
157,,,884149,888513.0,888513.0,889133.0,889133.0,889685.0,889685.0,891281
158,,,891282,892420.0,892420.0,893045.0,893045.0,893349.0,893349.0,894181
159,,,894182,898627.0,898627.0,899227.0,899227.0,899793.0,899793.0,902046
161,,,904366,909021.0,909021.0,909451.0,909451.0,910189.0,910189.0,912353
163,,,914710,919396.0,919396.0,920051.0,920051.0,920564.0,920564.0,922794
165,,,925095,929827.0,929827.0,930462.0,930462.0,930992.0,930992.0,933258
167,,,935510,939033.0,939033.0,939653.0,939653.0,940206.0,940206.0,942478
169,,,944763,949666.0,949666.0,950261.0,950261.0,950857.0,950857.0,952855
171,,,955428,960314.0,960314.0,960749.0,960749.0,961497.0,961497.0,963209
172,,,963210,965136.0,965136.0,965419.0,965419.0,965419.0,965419.0,966064
173,,,966065,971034.0,971034.0,971459.0,971459.0,972209.0,972209.0,974486
175,,,976791,981866.0,981866.0,982501.0,982501.0,983061.0,983061.0,985400
177,,,987691,992242.0,992242.0,992682.0,992682.0,993413.0,993413.0,995593
179,,,997879,1002465.0,1002465.0,1002910.0,1002910.0,1003654.0,1003654.0,1005838
181,,,1008136,1012776.0,1012776.0,1013211.0,1013211.0,1013962.0,1013962.0,1016168
183,,,1018437,1023172.0,1023172.0,1023622.0,1023622.0,1024364.0,1024364.0,1026548
185,,,1028879,1033758.0,1033758.0,1034188.0,1034188.0,1034957.0,1034957.0,1036609
186,,,1036610,1037645.0,1037645.0,1037720.0,1037720.0,1037957.0,1037957.0,1039522
187,,,1039523,1044371.0,1044371.0,1044816.0,1044816.0,1045539.0,1045539.0,1047793
189,,,1050089,1055051.0,1055051.0,1055531.0,1055531.0,1056255.0,1056255.0,1058534
191,,,1060822,1065922.0,1065922.0,1066387.0,1066387.0,1067140.0,1067140.0,1069473
193,,,1071770,1076295.0,1076295.0,1076735.0,1076735.0,1077477.0,1077477.0,1079663
195,,,1081922,1086502.0,1086502.0,1086937.0,1086937.0,1087687.0,1087687.0,1089891
197,,,1092146,1096739.0,1096739.0,1097174.0,1097174.0,1097928.0,1097928.0,1100129
199,,,1102416,1107076.0,1107076.0,1107706.0,1107706.0,1108268.0,1108268.0,1110442
201,,,1112766,1117451.0,1117451.0,1118071.0,1118071.0,1118646.0,1118646.0,1120847
203,,,1123164,1127908.0,1127908.0,1128508.0,1128508.0,1129122.0,1129122.0,1131330
205,,,1133647,1138376.0,1138376.0,1138996.0,1138996.0,1139556.0,1139556.0,1141778
207,,,1144066,1148895.0,1148895.0,1149330.0,1149330.0,1150085.0,1150085.0,1152330
209,,,1154643,1159543.0,1159543.0,1159983.0,1159983.0,1160741.0,1160741.0,1162979
211,,,1165313,1170329.0,1170329.0,1170969.0,1170969.0,1171519.0,1171519.0,1173804
213,,,1176117,1181189.0,1181189.0,1181624.0,1181624.0,1182381.0,1182381.0,1184646
215,,,1186974,1191491.0,1191491.0,1192151.0,1192151.0,1192676.0,1192676.0,1194861
217,,,1197151,1200522.0,1200522.0,1201137.0,1201137.0,1201739.0,1201739.0,1203339
218,,,1203340,1204657.0,1204657.0,1205046.0,1205046.0,1205046.0,1205046.0,1206246
219,,,1206247,1210831.0,1210831.0,1211466.0,1211466.0,1211996.0,1211996.0,1214203
221,,,1216489,1221135.0,1221135.0,1221775.0,1221775.0,1222328.0,1222328.0,1224530
223,,,1226828,1231522.0,1231522.0,1232162.0,1232162.0,1232712.0,1232712.0,1234871
225,,,1237217,1241991.0,1241991.0,1242436.0,1242436.0,1243176.0,1243176.0,1245425
227,,,1247681,1252565.0,1252565.0,1253015.0,1253015.0,1253751.0,1253751.0,1256005
229,,,1258295,1263252.0,1263252.0,1263932.0,1263932.0,1264465.0,1264465.0,1266755
231,,,1269060,1273647.0,1273647.0,1274287.0,1274287.0,1274834.0,1274834.0,1277003
233,,,1279337,1283993.0,1283993.0,1284653.0,1284653.0,1285184.0,1285184.0,1287363
235,,,1289699,1294443.0,1294443.0,1295063.0,1295063.0,1295636.0,1295636.0,1297854
237,,,1300149,1305009.0,1305009.0,1305624.0,1305624.0,1306210.0,1306210.0,1308441
239,,,1310791,1315755.0,1315755.0,1316310.0,1316310.0,1316970.0,1316970.0,1318697
240,,,1318698,1319658.0,1319658.0,1319768.0,1319768.0,1321547.0,1321547.0,1321564
241,,,1321565,1326631.0,1326631.0,1327171.0,1327171.0,1327845.0,1327845.0,1330145
243,,,1332444,1337420.0,1337420.0,1337945.0,1337945.0,1338599.0,1338599.0,1340871
245,,,1343193,1348086.0,1348086.0,1348656.0,1348656.0,1349255.0,1349255.0,1350970
